ID Заказа,Дата покупки,Дата доставки,Тип доставки,ID Клиента,Имя Клиента,Сегмент,Страна,Город,Штат,Почтовый код,Регион,Сумма,Кол-во,Скидка,Прибыль
CA-2016-117415,12/27/2016,12/31/2016,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,"1228,9532",19,"1,02","15,048"
CA-2018-120999,9/10/2018,9/15/2018,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,"147,168",4,"0,2","16,5564"
CA-2017-101343,7/17/2017,7/22/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,"77,88",2,0,"3,894"
CA-2018-139619,9/19/2018,9/23/2018,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,"95,616",2,"0,2","9,5616"
CA-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,"63,44",4,0,"27,9776"
CA-2015-146703,10/20/2015,10/25/2015,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,"211,96",4,0,"8,4784"
CA-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,"66,8",5,0,"11,054"
CA-2016-115742,4/18/2016,4/22/2016,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,"209,55",15,0,"73,3529"
CA-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,"1045,21",12,0,"304,9421"
CA-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,"655,09",25,"0,3","102,2808"
CA-2016-135545,11/24/2016,11/30/2016,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,"266,294",15,"0,2","106,8083"
US-2016-164175,4/30/2016,5/5/2016,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,"213,115",5,"0,3","-15,2225"
CA-2015-106376,12/5/2015,12/10/2015,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,"1280,992",12,"0,4","174,2904"
CA-2017-119823,6/4/2017,6/6/2017,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,"75,88",2,0,"35,6636"
CA-2017-106075,9/18/2017,9/23/2017,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,"4,616",1,"0,2","1,731"
CA-2018-114440,9/14/2018,9/17/2018,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,"19,05",3,0,"8,763"
US-2016-134026,4/26/2016,5/2/2016,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,"1001,76",11,"0,6","-131,3742"
US-2018-118038,12/9/2018,12/11/2018,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,"38,196",9,"1,6","-5,0352"
US-2015-147606,11/26/2015,12/1/2015,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,"19,3",5,"0,6","-14,475"
CA-2017-127208,6/12/2017,6/15/2017,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,"224,9",4,0,"64,2384"
CA-2015-139451,10/12/2015,10/16/2015,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,"36,29",6,0,"10,3751"
CA-2016-149734,9/3/2016,9/8/2016,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,"200,984",7,"0,2","62,8075"
US-2018-119662,11/13/2018,11/16/2018,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,"230,376",3,"0,2","-48,9549"
CA-2018-140088,5/28/2018,5/30/2018,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,"301,96",2,0,"33,2156"
CA-2018-155558,10/26/2018,11/2/2018,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,"26,15",3,0,"9,7534"
CA-2017-159695,4/5/2017,4/10/2017,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,"158,368",7,"0,2","13,8572"
CA-2017-109806,9/17/2017,9/22/2017,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,"100,164",6,"0,2","18,0216"
CA-2016-149587,1/31/2016,2/5/2016,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,"99,26",7,0,"38,9066"
US-2018-109484,11/6/2018,11/12/2018,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,"5,682",1,"0,7","-3,788"
CA-2018-161018,11/9/2018,11/11/2018,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,"96,53",7,0,"40,5426"
CA-2018-157833,6/17/2018,6/20/2018,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,"51,312",3,"0,2","17,9592"
CA-2017-149223,9/6/2017,9/11/2017,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,"77,88",6,0,"22,5852"
CA-2017-158568,8/29/2017,9/2/2017,Standard Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,"162,388",13,"1,2","8,7815"
CA-2017-129903,12/1/2017,12/4/2017,Second Class,GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,"23,92",4,0,"11,7208"
US-2016-156867,11/13/2016,11/17/2016,Standard Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,"378,138",12,"1,1","-56,5317"
CA-2018-119004,11/23/2018,11/28/2018,Standard Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,"105,408",10,"0,6","20,7748"
CA-2016-129476,10/15/2016,10/20/2016,Standard Class,PA-19060,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,"339,96",5,"0,2","67,992"
CA-2018-146780,12/25/2018,12/30/2018,Standard Class,CV-12805,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,"41,96",2,0,"10,9096"
CA-2017-128867,11/3/2017,11/10/2017,Standard Class,CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,"103,2",8,0,"36,1356"
CA-2015-115259,8/25/2015,8/27/2015,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,"199,256",25,"0,8","67,7109"
CA-2016-110457,3/2/2016,3/6/2016,Standard Class,DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,"787,53",3,0,"165,3813"
US-2016-136476,4/5/2016,4/10/2016,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,"157,794",1,"0,7","-115,7156"
CA-2017-103730,6/12/2017,6/15/2017,First Class,SC-20725,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,"487,5",29,0,"167,151"
US-2015-152030,12/26/2015,12/28/2015,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,"600,558",3,"0,3","-8,5794"
US-2015-134614,9/20/2015,9/25/2015,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,"617,7",6,"0,5","-407,682"
US-2018-107272,11/5/2018,11/12/2018,Standard Class,TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,"246,38",9,"0,9","28,6682"
US-2017-125969,11/6/2017,11/10/2017,Second Class,LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,"319,984",5,"0,2","17,0814"
US-2018-164147,2/2/2018,2/5/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,"159,73",16,"0,8","24,3432"
CA-2017-145583,10/13/2017,10/19/2017,Standard Class,LC-16885,Lena Creighton,Consumer,United States,Roseville,California,95661,West,"256,196",33,"0,2","97,5074"
CA-2017-110366,9/5/2017,9/7/2017,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,"82,8",2,"0,2","10,35"
CA-2018-106180,9/18/2018,9/23/2018,Standard Class,SH-19975,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,"163,38",9,0,"76,4616"
CA-2018-155376,12/22/2018,12/27/2018,Standard Class,SG-20080,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,"839,43",3,0,"218,2518"
CA-2016-110744,9/7/2016,9/12/2016,Standard Class,HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,"671,93",7,0,"20,1579"
CA-2015-110072,10/22/2015,10/28/2015,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,"93,888",4,"0,2","12,9096"
CA-2017-114489,12/5/2017,12/9/2017,Standard Class,JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,"2657,81",27,0,"775,9808"
CA-2017-158834,3/13/2017,3/16/2017,First Class,TW-21025,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,"361,104",7,"0,4","33,0048"
CA-2016-124919,5/31/2016,6/2/2016,First Class,SP-20650,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,"244,78",17,0,"95,839"
CA-2016-118948,5/28/2016,6/3/2016,Standard Class,NK-18490,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,"6,63",3,0,"1,7901"
CA-2015-104269,3/1/2015,3/6/2015,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,"457,568",2,"0,2","51,4764"
CA-2017-114104,11/20/2017,11/24/2017,Standard Class,NP-18670,Nora Paige,Consumer,United States,Edmond,Oklahoma,73034,Central,"959,55",9,0,"243,1039"
CA-2017-162733,5/11/2017,5/12/2017,First Class,TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045,West,"5,98",1,0,"2,691"
CA-2016-119697,12/28/2016,12/31/2016,Second Class,EM-13960,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,19134,East,"54,384",2,"0,2","1,3596"
CA-2017-154508,11/16/2017,11/20/2017,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,88220,West,"28,4",5,0,"13,348"
CA-2017-113817,11/7/2017,11/11/2017,Standard Class,MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115,West,"27,68",2,"0,2","9,688"
CA-2015-139892,9/8/2015,9/12/2015,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,"10539,896",37,"2,3","-1878,7892"
CA-2015-118962,8/5/2015,8/9/2015,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004,West,"472,044",12,"0,2","84,3616"
US-2015-100853,9/14/2015,9/19/2015,Standard Class,JB-15400,Jennifer Braxton,Corporate,United States,Chicago,Illinois,60623,Central,"72,608",6,1,"-124,568"
US-2018-152366,4/21/2018,4/25/2018,Second Class,SJ-20500,Shirley Jackson,Consumer,United States,Houston,Texas,77036,Central,"97,264",4,"0,8","-243,16"
US-2016-101511,11/21/2016,11/23/2016,Second Class,JE-15745,Joel Eaton,Consumer,United States,Newark,Ohio,43055,East,"412,682",12,"0,5","-15,1087"
CA-2016-137225,12/15/2016,12/19/2016,Standard Class,JK-15640,Jim Kriz,Home Office,United States,New York City,New York,10009,East,"3,28",1,0,"1,4104"
CA-2015-166191,12/5/2015,12/9/2015,Second Class,DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521,Central,"433,56",9,"0,4","78,5007"
CA-2015-158274,11/19/2015,11/24/2015,Second Class,RM-19675,Robert Marley,Home Office,United States,Monroe,Louisiana,71203,South,"682,91",11,0,"180,2656"
CA-2017-105018,11/28/2017,12/2/2017,Standard Class,SK-19990,Sally Knutson,Consumer,United States,Fairfield,Connecticut,6824,East,"7,16",2,0,"3,4368"
CA-2015-123260,8/26/2015,8/30/2015,Standard Class,FM-14290,Frank Merwin,Home Office,United States,Los Angeles,California,90032,West,"176,8",8,0,"22,984"
CA-2017-157000,7/16/2017,7/22/2017,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,Central,"57,24",6,"0,4","9,9774"
CA-2016-102281,10/12/2016,10/14/2016,First Class,MP-17470,Mark Packer,Home Office,United States,New York City,New York,10035,East,"1668,988",26,"0,4","210,9114"
CA-2016-131457,10/31/2016,11/6/2016,Standard Class,MZ-17515,Mary Zewe,Corporate,United States,Redlands,California,92374,West,"14,28",7,0,"6,7116"
CA-2015-140004,3/21/2015,3/25/2015,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Hamilton,Ohio,45011,East,"13,456",5,"0,4","2,7914"
CA-2018-107720,11/6/2018,11/13/2018,Standard Class,VM-21685,Valerie Mitchum,Home Office,United States,Westfield,New Jersey,7090,East,"46,26",3,0,"12,0276"
US-2018-124303,7/6/2018,7/13/2018,Standard Class,FH-14365,Fred Hopkins,Corporate,United States,Philadelphia,Pennsylvania,19120,East,"19,002",5,"0,9","3,5617"
CA-2018-105074,6/24/2018,6/29/2018,Standard Class,MB-17305,Maria Bertelson,Consumer,United States,Akron,Ohio,44312,East,"21,744",3,"0,2","6,795"
CA-2015-133690,8/3/2015,8/5/2015,First Class,BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219,West,"221,35",3,"0,7","-161,5825"
US-2018-116701,12/17/2018,12/21/2018,Second Class,LC-17140,Logan Currie,Consumer,United States,Dallas,Texas,75220,Central,"66,284",2,"0,8","-178,9668"
CA-2018-126382,6/3/2018,6/7/2018,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064,South,"35,168",7,"0,2","9,6712"
CA-2018-108329,12/9/2018,12/14/2018,Standard Class,LE-16810,Laurel Elliston,Consumer,United States,Whittier,California,90604,West,"444,768",4,"0,2","44,4768"
CA-2018-135860,12/1/2018,12/7/2018,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,"376,1",20,0,"68,8809"
CA-2016-101007,2/9/2016,2/13/2016,Second Class,MS-17980,Michael Stewart,Corporate,United States,Dallas,Texas,75220,Central,"20,8",2,"0,2","6,5"
CA-2016-146262,1/2/2016,1/9/2016,Standard Class,VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256,East,"1816,696",21,2,"-1196,0596"
CA-2017-130162,10/28/2017,11/1/2017,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Los Angeles,California,90032,West,"395,436",9,"0,2","48,735"
CA-2016-169397,12/24/2016,12/27/2016,First Class,JB-15925,Joni Blumstein,Consumer,United States,Dublin,Ohio,43017,East,"627,924",22,"2,2","-365,987"
CA-2016-163055,8/9/2016,8/16/2016,Standard Class,DS-13180,David Smith,Corporate,United States,Detroit,Michigan,48227,Central,"646,63",7,0,"138,1268"
US-2016-145436,2/28/2016,3/4/2016,Standard Class,VD-21670,Valerie Dominguez,Consumer,United States,Columbia,Tennessee,38401,South,"551,264",10,"0,4","15,5664"
US-2015-156216,9/13/2015,9/17/2015,Standard Class,EA-14035,Erin Ashbrook,Corporate,United States,Charlotte,North Carolina,28205,South,"18,648",7,"0,7","-12,432"
US-2018-100930,4/7/2018,4/12/2018,Standard Class,CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614,South,"1735,8505",13,2,"-361,5705"
CA-2018-160514,11/12/2018,11/16/2018,Standard Class,DB-13120,David Bremer,Corporate,United States,Santa Clara,California,95051,West,"10,56",2,0,"4,752"
CA-2017-157749,6/4/2017,6/9/2017,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610,Central,"677,949",25,"2,9","-462,9528"
CA-2015-131926,6/1/2015,6/6/2015,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,"3745,63",24,0,"1154,6735"
CA-2017-154739,12/10/2017,12/15/2017,Second Class,LH-17155,Logan Haushalter,Consumer,United States,San Francisco,California,94109,West,"321,568",2,"0,2","28,1372"
CA-2017-145625,9/11/2017,9/17/2017,Standard Class,KC-16540,Kelly Collister,Consumer,United States,San Diego,California,92037,West,"3354,98",14,0,"639,577"
CA-2017-146941,12/10/2017,12/13/2017,First Class,DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10024,East,"442,5",10,0,"185,4264"
US-2016-159982,11/28/2016,12/4/2016,Standard Class,DR-12880,Dan Reichenbach,Corporate,United States,Chicago,Illinois,60623,Central,"796,324",22,"1,2","32,6808"
CA-2018-163139,12/1/2018,12/3/2018,Second Class,CC-12670,Craig Carreira,Consumer,United States,New York City,New York,10009,East,"259,44",11,"0,2","19,7043"
US-2018-155299,6/8/2018,6/12/2018,Standard Class,Dl-13600,Dorris liebe,Corporate,United States,Pasadena,Texas,77506,Central,"1,624",2,"0,8","-4,466"
US-2015-106992,9/19/2015,9/21/2015,Second Class,SB-20290,Sean Braxton,Corporate,United States,Houston,Texas,77036,Central,"5579,94",10,"0,8","-761,9928"
CA-2017-125318,6/6/2017,6/13/2017,Standard Class,RC-19825,Roy Collins,Consumer,United States,Chicago,Illinois,60610,Central,"328,224",4,"0,2","28,7196"
CA-2016-155040,11/10/2016,11/15/2016,Standard Class,AH-10210,Alan Hwang,Consumer,United States,Brentwood,California,94513,West,"79,9",2,0,"35,156"
CA-2018-136826,6/16/2018,6/20/2018,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,Chapel Hill,North Carolina,27514,South,"14,016",3,"0,2","4,7304"
CA-2017-111010,1/22/2017,1/28/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Morristown,New Jersey,7960,East,"7,56",6,0,"0,3024"
US-2018-145366,12/9/2018,12/13/2018,Standard Class,CA-12310,Christine Abelman,Corporate,United States,Cincinnati,Ohio,45231,East,"94,784",4,"0,4","14,1494"
CA-2018-163979,12/28/2018,1/2/2019,Second Class,KH-16690,Kristen Hastings,Corporate,United States,San Francisco,California,94110,West,"725,84",4,0,"210,4936"
CA-2016-155334,7/30/2016,7/31/2016,First Class,HA-14920,Helen Andreada,Consumer,United States,San Francisco,California,94109,West,"226,13",13,"0,2","98,7874"
CA-2018-118136,9/16/2018,9/17/2018,First Class,BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301,West,"14,8",3,0,"5,612"
CA-2018-132976,10/13/2018,10/17/2018,Standard Class,AG-10495,Andrew Gjertsen,Corporate,United States,Philadelphia,Pennsylvania,19140,East,"114,376",15,"0,8","24,6492"
US-2016-161991,9/26/2016,9/28/2016,Second Class,SC-20725,Steven Cartwright,Consumer,United States,Houston,Texas,77070,Central,"1116,48",12,1,"372,678"
CA-2016-130890,11/2/2016,11/6/2016,Standard Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,90004,West,"1038,84",5,"0,2","51,942"
CA-2016-130883,9/26/2016,10/2/2016,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Portland,Oregon,97206,West,"412,664",16,"0,6","106,6904"
CA-2017-112697,12/18/2017,12/20/2017,Second Class,AH-10195,Alan Haines,Corporate,United States,Tamarac,Florida,33319,South,"1410,066",14,"1,1","-349,3705"
CA-2017-110772,11/20/2017,11/24/2017,Second Class,NZ-18565,Nick Zandusky,Home Office,United States,Columbus,Ohio,43229,East,"380,546",20,"1,1","18,6194"
CA-2015-111451,12/26/2015,12/28/2015,First Class,KL-16555,Kelly Lampkin,Corporate,United States,Colorado Springs,Colorado,80906,West,"855,272",22,"1,5","20,8692"
CA-2017-142545,10/28/2017,11/3/2017,Standard Class,JD-15895,Jonathan Doherty,Corporate,United States,Belleville,New Jersey,7109,East,"1263,67",21,0,"98,2864"
US-2018-152380,11/19/2018,11/23/2018,Standard Class,JH-15910,Jonathan Howell,Consumer,United States,Chicago,Illinois,60623,Central,"219,075",3,"0,5","-131,445"
CA-2016-144253,5/4/2016,5/9/2016,Second Class,AS-10225,Alan Schoenberger,Corporate,United States,New York City,New York,10024,East,"26,8",2,0,"12,864"
CA-2015-130960,12/30/2015,1/4/2016,Standard Class,KB-16600,Ken Brennan,Corporate,United States,Taylor,Michigan,48180,Central,"9,84",3,0,"2,8536"
CA-2015-111003,6/1/2015,6/6/2015,Standard Class,CR-12625,Corey Roper,Home Office,United States,Lakewood,New Jersey,8701,East,"334,68",9,0,"104,7888"
CA-2018-126774,4/15/2018,4/17/2018,First Class,SH-20395,Shahid Hopkins,Consumer,United States,Arlington,Virginia,22204,South,"4,89",1,0,"2,0049"
CA-2017-142902,9/12/2017,9/14/2017,Second Class,BP-11185,Ben Peterman,Corporate,United States,Arvada,Colorado,80004,West,"503,4",10,"0,8","59,8556"
CA-2015-120887,9/27/2015,10/3/2015,Standard Class,TS-21205,Thomas Seio,Corporate,United States,Hackensack,New Jersey,7601,East,"87,54",3,0,"37,6422"
CA-2015-167850,8/9/2015,8/16/2015,Standard Class,AG-10525,Andy Gerbode,Corporate,United States,Saint Petersburg,Florida,33710,South,"193,936",5,"0,4","27,7412"
CA-2015-164259,12/28/2015,12/30/2015,First Class,SP-20860,Sung Pak,Corporate,United States,Philadelphia,Pennsylvania,19143,East,"99,136",4,"0,2","8,6744"
CA-2015-164973,11/4/2015,11/9/2015,Standard Class,NM-18445,Nathan Mautz,Home Office,United States,New York City,New York,10024,East,"4807,372",14,"0,1","2242,8404"
CA-2015-156601,9/19/2015,9/24/2015,Standard Class,FA-14230,Frank Atkinson,Corporate,United States,Long Beach,California,90805,West,"7,16",2,0,"3,58"
CA-2017-162138,4/23/2017,4/27/2017,Standard Class,GK-14620,Grace Kelly,Corporate,United States,Hesperia,California,92345,West,"351,51",7,"0,2","116,7405"
CA-2018-153339,11/3/2018,11/5/2018,Second Class,DJ-13510,Don Jones,Corporate,United States,Murfreesboro,Tennessee,37130,South,"15,992",1,"0,2","0,9995"
US-2017-141544,8/30/2017,9/1/2017,First Class,PO-18850,Patrick O'Brill,Consumer,United States,Philadelphia,Pennsylvania,19143,East,"1269,87",25,"1,8","-316,8514"
US-2017-150147,4/25/2017,4/29/2017,Second Class,JL-15850,John Lucas,Consumer,United States,Philadelphia,Pennsylvania,19134,East,"108,42",7,"1,8","-37,9432"
CA-2016-137946,9/1/2016,9/4/2016,Second Class,DB-13615,Doug Bickford,Consumer,United States,Los Angeles,California,90045,West,"979,104",7,"0,6","342,0882"
CA-2015-129924,7/12/2015,7/17/2015,Standard Class,AC-10420,Alyssa Crouse,Corporate,United States,San Francisco,California,94122,West,"706,064",5,"0,4","-14,6632"
CA-2016-128167,6/22/2016,6/26/2016,Second Class,KL-16645,Ken Lonsdale,Consumer,United States,Layton,Utah,84041,West,"4,96",4,0,"2,3312"
CA-2015-122336,4/13/2015,4/17/2015,Second Class,JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,"630,746",39,"1,5","-388,396"
US-2016-120712,12/20/2016,12/24/2016,Standard Class,CS-12130,Chad Sievert,Consumer,United States,Austin,Texas,78745,Central,"88,8",4,"0,2","-2,22"
CA-2018-169901,6/15/2018,6/19/2018,Standard Class,CC-12550,Clay Cheatham,Consumer,United States,San Francisco,California,94122,West,"47,976",3,"0,2","4,7976"
CA-2018-134306,7/8/2018,7/12/2018,Standard Class,TD-20995,Tamara Dahlen,Consumer,United States,Lowell,Massachusetts,1852,East,"45,08",7,0,"18,79"
CA-2017-129714,9/1/2017,9/3/2017,First Class,AB-10060,Adam Bellavance,Home Office,United States,New York City,New York,10009,East,"4438,686",12,"0,4","1453,4346"
CA-2017-138520,4/8/2017,4/13/2017,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,United States,New York City,New York,10035,East,"448,404",17,"0,2","21,7512"
CA-2017-130001,4/23/2017,4/28/2017,Standard Class,HK-14890,Heather Kirkland,Corporate,United States,Charlotte,North Carolina,28205,South,"36,24",5,"0,2","11,325"
CA-2018-155698,3/8/2018,3/11/2018,First Class,VB-21745,Victoria Brennan,Corporate,United States,Columbus,Georgia,31907,South,"668,54",10,0,"178,3744"
CA-2018-144904,9/25/2018,10/1/2018,Standard Class,KW-16435,Katrina Willman,Consumer,United States,New York City,New York,10009,East,"562,026",15,"0,1","118,9848"
CA-2015-123344,9/24/2015,9/29/2015,Standard Class,JD-16060,Julia Dunbar,Consumer,United States,San Francisco,California,94109,West,"211,96",4,0,"8,4784"
